Date,people_employed
1/1/1978,5985.7
2/1/1978,6040.6
3/1/1978,6054.2
4/1/1978,6038.3
5/1/1978,6031.3
6/1/1978,6036.1
7/1/1978,6005.4
8/1/1978,6024.3
9/1/1978,6045.9
10/1/1978,6033.8
11/1/1978,6125.4
12/1/1978,5971.3
1/1/1979,6050.7
2/1/1979,6096.2
3/1/1979,6087.7
4/1/1979,6075.6
5/1/1979,6095.7
6/1/1979,6103.9
7/1/1979,6078.5
8/1/1979,6157.8
9/1/1979,6164
10/1/1979,6188.8
11/1/1979,6257.2
12/1/1979,6112.9
1/1/1980,6207.2
2/1/1980,6278.7
3/1/1980,6224.9
4/1/1980,6273.4
5/1/1980,6269.9
6/1/1980,6314.1
7/1/1980,6281.4
8/1/1980,6360
9/1/1980,6320.2
10/1/1980,6342
11/1/1980,6426.6
12/1/1980,6253
1/1/1981,6356.5
2/1/1981,6428.1
3/1/1981,6426.3
4/1/1981,6412.4
5/1/1981,6413.9
6/1/1981,6425.3
7/1/1981,6393.7
8/1/1981,6502.7
9/1/1981,6445.3
10/1/1981,6433.3
11/1/1981,6506.9
12/1/1981,6355.5
1/1/1982,6432.4
2/1/1982,6497.4
3/1/1982,6431.6
4/1/1982,6440.9
5/1/1982,6414.3
6/1/1982,6425.9
7/1/1982,6379.3
8/1/1982,6443.5
9/1/1982,6421.1
10/1/1982,6367
11/1/1982,6370.2
12/1/1982,6172.2
1/1/1983,6264.1
2/1/1983,6310.4
3/1/1983,6254.5
4/1/1983,6272.8
5/1/1983,6266.5
6/1/1983,6295
7/1/1983,6241.1
8/1/1983,6358.2
9/1/1983,6336.2
10/1/1983,6377.5
11/1/1983,6456.4
12/1/1983,6251.4
1/1/1984,6365.4
2/1/1984,6503.2
3/1/1984,6477.6
4/1/1984,6489.7
5/1/1984,6499
6/1/1984,6528.7
7/1/1984,6466.1
8/1/1984,6579.8
9/1/1984,6553.2
10/1/1984,6576.1
11/1/1984,6636
12/1/1984,6452.4
1/1/1985,6595.7
2/1/1985,6657.4
3/1/1985,6588.8
4/1/1985,6658
5/1/1985,6659.4
6/1/1985,6703.4
7/1/1985,6675.6
8/1/1985,6814.7
9/1/1985,6771.1
10/1/1985,6882
11/1/1985,6910.8
12/1/1985,6753.6
1/1/1986,6861.9
2/1/1986,6961.9
3/1/1986,6997.9
4/1/1986,6979
5/1/1986,7007.7
6/1/1986,6991.5
7/1/1986,6918.6
8/1/1986,7040.6
9/1/1986,7030.4
10/1/1986,7034.2
11/1/1986,7116.8
12/1/1986,6902.5
1/1/1987,7022.3
2/1/1987,7133.4
3/1/1987,7109.6
4/1/1987,7103.6
5/1/1987,7128.9
6/1/1987,7175.6
7/1/1987,7092.3
8/1/1987,7186.5
9/1/1987,7177.4
10/1/1987,7182.2
11/1/1987,7330.7
12/1/1987,7169.4
1/1/1988,7247.4
2/1/1988,7397.4
3/1/1988,7383.4
4/1/1988,7354.9
5/1/1988,7378.3
6/1/1988,7383.1
7/1/1988,7353.4
8/1/1988,7503.2
9/1/1988,7477.3
10/1/1988,7508.7
11/1/1988,7622.9
12/1/1988,7424.9
1/1/1989,7569.7
2/1/1989,7638.3
3/1/1989,7683.2
4/1/1989,7729.3
5/1/1989,7720.5
6/1/1989,7751.8
7/1/1989,7727.6
8/1/1989,7854.4
9/1/1989,7817.8
10/1/1989,7870.7
11/1/1989,7941.6
12/1/1989,7712.6
1/1/1990,7809.1
2/1/1990,7877.5
3/1/1990,7894.3
4/1/1990,7916.1
5/1/1990,7910
6/1/1990,7932.9
7/1/1990,7825
8/1/1990,7925.5
9/1/1990,7870.5
10/1/1990,7849.9
11/1/1990,7941.2
12/1/1990,7668.8
1/1/1991,7739.3
2/1/1991,7746.5
3/1/1991,7750.5
