ward,residential,commercial,industrial,vacant,other
1,41,9,2,2,46
2,31,11,6,2,50
3,20,5,3,13,59
4,22,13,0,7,58
5,25,3,1,3,68
6,44,4,1,8,43
7,39,3,0,19,39
8,38,5,9,5,43
9,27,2,10,6,55
10,10,1,8,14,67
11,21,6,22,5,46
12,22,7,18,4,49
13,49,3,2,1,45
14,29,4,18,3,46
15,41,4,3,6,46
16,37,5,2,13,43
17,38,4,2,5,51
18,38,6,7,3,46
19,50,3,0,0,47
20,23,2,3,15,57
21,43,5,3,5,44
22,28,3,19,7,43
23,38,4,7,1,50
24,24,3,8,13,52
25,16,6,17,5,56
26,36,5,4,2,53
27,16,9,15,7,53
28,21,5,10,11,53
29,39,6,12,2,41
30,50,6,2,1,41
31,46,8,8,0,38
32,40,9,4,1,46
33,42,5,4,1,48
34,44,4,2,7,43
35,48,6,5,1,40
36,47,9,4,1,39
37,38,7,12,6,37
38,37,2,1,0,60
39,37,4,3,1,55
40,37,5,2,0,56
41,18,2,1,0,79
42,10,25,0,1,64
43,34,9,0,1,56
44,41,6,0,0,53
45,49,5,3,0,43
46,26,4,0,1,69
47,42,6,5,0,47
48,40,7,0,1,52
49,46,5,1,0,48
50,49,7,2,1,41
